number:slaveId,number:taskId,number:threadId,string:cellName,number:arcId,date:TimeStamps,string:pinName,string:relatedPin,string:timingType,string:tableType,number:cpuTime,number:totalTime,number:pass,string:pvtName
0,1,0,DFFQX1,0,Dec 29 12:53:29 2020,D,CK,setup_rising,rise_constraint,5.5,0,0,nil
0,1,0,DFFQX1,1,Dec 29 12:53:39 2020,D,CK,hold_rising,fall_constraint,4.6,0,0,nil
0,1,0,DFFQX1,2,Dec 29 12:53:43 2020,Q,CK,rising_edge,rise_transition,1.1,0,0,nil
0,1,0,DFFQX1,3,Dec 29 12:53:49 2020,D,,falling_edge,fall_power,1.1,0,0,nil
0,1,0,DFFQX1,4,Dec 29 12:53:55 2020,CK,,rising_edge,rise_power,1,0,0,nil
0,1,0,DFFQX1,5,Dec 29 12:54:01 2020,CK,,falling_edge,fall_power,1,0,0,nil
0,1,0,DFFQX1,6,Dec 29 12:54:03 2020,,,combinational,leakage_power,0.38,0,0,nil
0,1,0,DFFQX1,7,Dec 29 12:54:05 2020,,,combinational,leakage_power,0.37,0,0,nil
0,1,0,DFFQX1,8,Dec 29 12:54:07 2020,,,combinational,leakage_power,0.41,0,0,nil
0,1,0,DFFQX1,9,Dec 29 12:54:08 2020,,,combinational,leakage_power,0.42,0,0,nil
0,2,0,DFFQX1,10,Dec 29 12:54:42 2020,D,CK,setup_rising,fall_constraint,5.5,0,0,nil
0,2,0,DFFQX1,11,Dec 29 12:54:51 2020,CK,CK,min_pulse_width,fall_constraint,3.9,0,0,nil
0,2,0,DFFQX1,12,Dec 29 12:54:54 2020,Q,CK,rising_edge,fall_transition,1.1,0,0,nil
0,2,0,DFFQX1,13,Dec 29 12:55:00 2020,D,,rising_edge,rise_power,1.2,0,0,nil
0,2,0,DFFQX1,14,Dec 29 12:55:06 2020,CK,,falling_edge,fall_power,1.1,0,0,nil
0,2,0,DFFQX1,15,Dec 29 12:55:12 2020,CK,,falling_edge,fall_power,1.1,0,0,nil
0,2,0,DFFQX1,16,Dec 29 12:55:14 2020,,,combinational,leakage_power,0.36,0,0,nil
0,2,0,DFFQX1,17,Dec 29 12:55:16 2020,,,combinational,leakage_power,0.36,0,0,nil
0,2,0,DFFQX1,18,Dec 29 12:55:18 2020,,,combinational,leakage_power,0.39,0,0,nil
0,2,0,DFFQX1,19,Dec 29 12:55:19 2020,,,combinational,leakage_power,0.38,0,0,nil
0,3,0,DFFQX1,20,Dec 29 12:55:54 2020,D,CK,hold_rising,rise_constraint,5.5,0,0,nil
0,3,0,DFFQX1,21,Dec 29 12:56:01 2020,CK,CK,min_pulse_width,rise_constraint,2.8,0,0,nil
0,3,0,DFFQX1,22,Dec 29 12:56:07 2020,D,,rising_edge,rise_power,1.1,0,0,nil
0,3,0,DFFQX1,23,Dec 29 12:56:14 2020,D,,falling_edge,fall_power,1.2,0,0,nil
0,3,0,DFFQX1,24,Dec 29 12:56:19 2020,CK,,rising_edge,rise_power,1,0,0,nil
0,3,0,DFFQX1,25,Dec 29 12:56:25 2020,CK,,falling_edge,fall_power,1.1,0,0,nil
0,5,0,AND2X1,0,Dec 29 12:57:13 2020,Y,A,combinational,rise_transition,1.2,0,0,nil
0,5,0,AND2X1,1,Dec 29 12:57:16 2020,Y,A,combinational,fall_transition,0.34,0,0,nil
0,5,0,AND2X1,2,Dec 29 12:57:22 2020,A,,rising_edge,rise_power,0.59,0,0,nil
0,5,0,AND2X1,3,Dec 29 12:57:27 2020,A,,falling_edge,fall_power,0.59,0,0,nil
0,5,0,AND2X1,4,Dec 29 12:57:32 2020,B,,rising_edge,rise_power,0.49,0,0,nil
0,5,0,AND2X1,5,Dec 29 12:57:38 2020,B,,falling_edge,fall_power,0.42,0,0,nil
0,5,0,AND2X1,6,Dec 29 12:57:39 2020,,,combinational,leakage_power,0.038,0,0,nil
0,5,0,AND2X1,7,Dec 29 12:57:40 2020,,,combinational,leakage_power,0.14,0,0,nil
0,5,0,AND2X1,8,Dec 29 12:57:42 2020,,,combinational,leakage_power,0.13,0,0,nil
0,5,0,AND2X1,9,Dec 29 12:57:44 2020,,,combinational,leakage_power,0.13,0,0,nil
0,5,0,AND2X1,10,Dec 29 12:57:47 2020,Y,B,combinational,rise_transition,0.42,0,0,nil
0,5,0,AND2X1,11,Dec 29 12:57:49 2020,Y,B,combinational,fall_transition,0.25,0,0,nil
0,6,0,INVX1,0,Dec 29 12:58:16 2020,Y,A,combinational,rise_transition,0.96,0,0,nil
0,6,0,INVX1,1,Dec 29 12:58:19 2020,Y,A,combinational,fall_transition,0.29,0,0,nil
0,6,0,INVX1,2,Dec 29 12:58:20 2020,,,combinational,leakage_power,0.068,0,0,nil
0,6,0,INVX1,3,Dec 29 12:58:22 2020,,,combinational,leakage_power,0.09,0,0,nil
